Team,Opponent,Rank,Site,TV,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,conference_game,isRanked,Win,Team_Score,Opp_Score,OT,Special,GD,DateTime,Year,State,Region,OppisRanked
Arkansas State,Missouri State,99,"Centennial Bank StadiumJonesboro, AR",1,26634,0,2,30406,0.875945537,0,0,0.0,0.0,0.0,91,65,99,Sun Belt,1,0,1,70,7,0,0,0,2015-09-19 18:00:00,2015,AR,S,0
Hawaii,UC Davis,99,"Aloha StadiumHonolulu, HI",1,25714,1,1,50000,0.5142800000000001,0,0,0.02,0.0,0.0,87,77,99,MWC,1,0,1,47,27,0,0,0,2015-09-19 18:00:00,2015,HI,O,0
UCF,Furman,99,"Bright House Networks StadiumOrlando, FL",1,36484,0,2,44206,0.82531783,0,0,0.0,0.0,0.0,90,75,99,AAC,1,0,0,15,16,0,0,0,2015-09-19 18:00:00,2015,FL,S,0
UCLA,BYU,10,"Rose BowlPasadena, CA",1,67612,2,0,92542,0.730608805,0,0,0.0,0.0,0.0,92,67,19,Pac-12,1,1,1,24,23,0,0,0,2015-09-19 19:30:00,2015,CA,W,1
Toledo,Iowa State,99,"Glass BowlToledo, OH",1,23104,1,0,26248,0.880219445,0,0,0.51,0.0,0.0,72,52,99,Mid-American,1,0,1,30,23,2,0,0,2015-09-19 20:00:00,2015,OH,M,0
Penn State,Rutgers,99,"Beaver StadiumUniversity Park, PA",1,103323,1,1,106572,0.969513568,0,1,0.0,0.0,0.0,83,56,99,Big-10,0,0,1,28,3,0,0,0,2015-09-19 20:00:00,2015,PA,N,0
Arizona,FCS Northern Arizona,20,"Arizona StadiumTucson, AZ",1,51494,2,0,55675,0.924903458,0,0,0.0,0.0,0.0,95,74,2,Pac-12,1,1,1,77,13,0,0,0,2015-09-19 20:00:00,2015,AZ,W,1
Alabama,Ole Miss,2,"BryantDenny StadiumTuscaloosa, AL  ",1,101821,2,0,101821,1.0,0,1,0.0,0.0,0.0,93,63,15,SEC,0,1,0,37,43,0,1,0,2015-09-19 20:15:00,2015,AL,S,1
Memphis,Cincinnati,99,"Liberty Bowl Memorial StadiumMemphis, TN",1,45172,3,0,58325,0.7744877840000001,0,0,0.0,0.0,0.0,87,55,99,AAC,0,0,1,53,46,0,0,0,2015-09-24 18:30:00,2015,TN,S,0
Oregon State,Stanford,99,"Reser StadiumCorvallis, OR",1,37302,2,1,45674,0.8167009679999999,1,0,0.0,0.0,0.0,78,49,21,ACC,0,0,0,24,42,0,0,0,2015-09-25 19:00:00,2015,OR,W,1
Virginia,Boise State,99,"Scott StadiumCharlottesville, VA",1,42427,1,2,61500,0.689869919,0,0,0.0,0.0,0.0,76,56,99,ACC,1,0,0,14,56,0,0,0,2015-09-25 20:00:00,2015,VA,S,0
Nebraska,Southern Miss,99,"Memorial StadiumLincoln, NE",1,89899,1,2,86047,1.044766232,1,1,0.0,0.0,0.0,81,51,99,Big-10,1,0,1,36,28,0,0,0,2015-09-26 11:00:00,2015,NE,W,0
Colorado,Nicholls State,99,"Folsom FieldBoulder, CO",1,37302,2,1,50183,0.743319451,0,0,0.0,0.0,0.0,86,47,99,Pac-12,1,0,1,48,0,0,0,0,2015-09-26 11:30:00,2015,CO,W,0
Michigan State,Central Michigan,2,"Spartan StadiumEast Lansing, MI",1,75218,3,0,75005,1.0028398109999999,0,1,0.0,0.0,0.0,75,54,99,Big-10,1,1,1,30,10,0,0,0,2015-09-26 12:00:00,2015,MI,W,0
Syracuse,LSU,99,"Carrier DomeSyracuse, NY",1,43101,3,0,49262,0.8749340259999999,0,0,0.0,0.0,0.0,72,51,8,ACC,1,0,0,24,34,0,0,0,2015-09-26 12:00:00,2015,NY,N,1
Rutgers,Kansas,99,"High Point Solutions StadiumPiscataway, NJ",1,46136,1,2,52454,0.879551607,0,0,0.0,0.0,0.0,75,59,99,Big-10,1,0,1,27,14,0,0,0,2015-09-26 12:00:00,2015,NJ,N,0
Boston College,Northern Illinois,99,"Alumni StadiumChestnut Hill, MA",1,30193,2,1,44500,0.678494382,0,0,0.0,0.0,0.0,66,49,99,ACC,1,0,1,17,14,0,0,0,2015-09-26 13:00:00,2015,MA,N,0
Louisiana Tech,FIU,99,"Joe Aillet StadiumRuston, LA",1,20010,1,2,28019,0.71415825,0,0,0.0,0.0,0.0,94,58,99,CUSA,0,0,1,27,17,0,0,0,2015-09-26 13:30:00,2015,LA,S,0
Washington,California,99,"Husky StadiumSeattle, WA",1,61066,2,1,70083,0.87133827,0,1,0.0,0.0,0.0,64,47,99,Pac-12,0,0,0,24,30,0,0,0,2015-09-26 14:00:00,2015,WA,W,0
Baylor,Rice,5,"McLane StadiumWaco, TX",1,43619,2,0,45140,0.966304829,0,0,0.0,0.0,0.0,95,64,99,Big-12,1,1,1,70,17,0,0,0,2015-09-26 14:00:00,2015,TX,S,0
Western Kentucky,Miami OH,99,"Houchens IndustriesL. T. Smith StadiumBowling Green, KY",1,20320,2,1,22113,0.9189164740000001,0,0,0.0,0.0,0.0,78,62,99,CUSA,1,0,1,56,14,0,0,0,2015-09-26 14:30:00,2015,KY,S,0
Illinois,Middle Tennessee,99,"Memorial StadiumChampaign, IL",1,44366,2,1,60670,0.7312675129999999,0,0,0.0,0.0,0.0,80,58,99,Big-10,1,0,1,27,25,0,0,0,2015-09-26 15:00:00,2015,IL,M,0
Alabama,Louisiana Monroe,12,"BryantDenny StadiumTuscaloosa, AL",1,101323,2,1,101821,0.9951090640000001,0,1,0.0,0.0,0.0,87,62,99,SEC,1,1,1,34,0,0,0,0,2015-09-26 15:00:00,2015,AL,S,0
Penn State,San Diego State,99,"Beaver StadiumUniversity Park, PA",1,95107,2,1,106572,0.892420148,0,1,0.0,0.0,0.0,71,55,99,Big-10,1,0,1,37,21,0,0,0,2015-09-26 15:30:00,2015,PA,N,0
Buffalo,Nevada,99,"UB StadiumAmherst, NY",1,19072,2,1,25013,0.7624835090000001,1,0,0.0,0.0,0.0,74,53,99,Mid-American,1,0,0,21,24,0,0,0,2015-09-26 15:30:00,2015,NY,N,0
Kent State,Marshall,99,"Dix StadiumKent, OH",1,15424,1,2,27262,0.565769203,0,0,0.0,0.0,0.0,74,51,99,Mid-American,1,0,0,29,36,2,0,0,2015-09-26 15:30:00,2015,OH,M,0
Notre Dame,UMass,6,"Notre Dame StadiumSouth Bend, IN",1,80795,3,0,80795,1.0,0,1,0.57,0.0,0.0,70,66,99,Independent,0,1,1,62,27,0,0,0,2015-09-26 15:30:00,2015,IN,M,0
Arizona,UCLA,16,"Arizona StadiumTucson, AZ ",1,56004,3,0,55675,1.005909295,0,0,0.0,0.0,0.0,97,74,9,Pac-12,0,1,0,30,56,0,1,1,2015-09-26 17:00:00,2015,AZ,W,1
SMU,FCS James Madison,99,"Gerald J. Ford StadiumUniversity Park, TX",1,22314,1,2,32000,0.6973125,1,0,0.0,0.0,0.0,91,67,99,AAC,1,0,0,45,48,0,0,0,2015-09-26 18:00:00,2015,TX,S,0
Louisiana,Akron,99,"Cajun FieldLafayette, LA",1,24679,1,1,41426,0.5957369770000001,0,0,0.0,0.0,0.0,87,69,99,Sun Belt,1,0,0,14,35,0,0,0,2015-09-26 18:00:00,2015,LA,S,0
UTEP,Incarnate Word,99,"Sun BowlEl Paso, TX",,22322,1,2,51500,0.433436893,0,0,0.0,0.0,0.0,87,62,99,CUSA,1,0,1,27,17,0,0,0,2015-09-26 18:00:00,2015,TX,S,0
Ole Miss,Vanderbilt,3,"VaughtHemingway StadiumOxford, MS ",1,60654,3,0,59347,1.022023017,0,1,0.0,0.0,0.0,86,59,99,SEC,0,1,1,27,16,0,1,0,2015-09-26 18:00:00,2015,MS,S,0
Toledo,Arkansas State,99,"Glass BowlToledo, OH",1,21385,2,0,26248,0.8147287409999999,0,0,0.0,0.0,0.0,74,57,99,Mid-American,1,0,1,37,7,0,0,0,2015-09-26 19:00:00,2015,OH,M,0
Wisconsin,Hawaii,22,"Camp Randall StadiumMadison, WI",1,80829,2,1,80321,1.006324622,1,1,0.0,0.0,0.0,77,55,99,Big-10,1,1,1,28,0,0,0,0,2015-09-26 19:00:00,2015,WI,M,0
South Alabama,NC State,99,"LaddPeebles StadiumMobile, AL",1,21314,2,1,40000,0.53285,0,0,0.0,0.0,0.0,86,65,99,AAC,1,0,0,13,63,0,0,0,2015-09-26 19:00:00,2015,AL,S,0
BYU,UConn,99,"LaVell Edwards StadiumProvo, UT",1,56393,2,2,63470,0.888498503,0,0,0.26,0.0,0.0,88,56,99,Independent,0,0,1,30,13,0,0,0,2015-10-02 20:15:00,2015,UT,W,0
Iowa State,Kansas,99,"Jack Trice StadiumAmes, IA",1,55837,1,2,61500,0.9079186990000001,0,0,0.0,0.0,0.0,64,41,99,Big-12,0,0,1,38,13,0,0,0,2015-10-03 11:00:00,2015,IA,M,0
Missouri,South Carolina,99,"Faurot FieldColumbia, MO",1,66751,3,1,71168,0.9379355890000001,0,0,0.0,0.0,0.0,68,42,99,SEC,0,0,1,24,10,0,0,0,2015-10-03 11:00:00,2015,MO,M,0
Wisconsin,Iowa,19,"Camp Randall StadiumMadison, WI ",1,80933,3,1,80321,1.007619427,1,1,0.0,0.0,0.0,56,40,99,Big-10,0,1,0,6,10,0,1,0,2015-10-03 11:00:00,2015,WI,M,0
Oklahoma,West Virginia,15,"Gaylord Family Oklahoma Memorial StadiumNorman, OK",1,84384,3,0,82112,1.027669525,0,1,0.0,0.0,0.0,72,50,23,Big-12,0,1,1,44,24,0,0,0,2015-10-03 11:00:00,2015,OK,S,1
Michigan State,Purdue,2,"Spartan StadiumEast Lansing, MI",1,74418,4,0,75005,0.992173855,0,1,0.23,0.0,0.0,50,45,99,Big-10,0,1,1,24,21,0,0,0,2015-10-03 12:00:00,2015,MI,W,0
Penn State,Army,99,"Beaver StadiumUniversity Park, PA",1,107387,3,1,106572,1.007647412,0,1,0.37,0.0,0.0,51,43,99,Big-10,1,0,1,20,14,0,0,0,2015-10-03 12:00:00,2015,PA,N,0
NC State,Louisville,99,"CarterFinley StadiumRaleigh, NC",1,56417,4,0,57583,0.9797509679999999,0,0,1.23,0.0,0.0,68,53,99,ACC,0,0,0,13,20,0,0,0,2015-10-03 12:30:00,2015,NC,S,0
California,Washington State,24,"California Memorial StadiumBerkeley, CA",1,42042,4,0,62467,0.673027358,0,0,0.0,0.0,0.0,78,53,99,Pac-12,0,1,1,34,28,0,0,0,2015-10-03 13:00:00,2015,CA,W,0
Illinois,Nebraska,99,"Memorial StadiumChampaign, IL",1,40138,3,1,60670,0.661579034,0,0,0.0,0.0,0.0,59,48,99,Big-10,0,0,1,14,13,0,0,0,2015-10-03 15:00:00,2015,IL,M,0
Ball State,Toledo,99,"Scheumann StadiumMuncie, IN",1,10002,2,2,30406,0.328948234,0,0,0.04,0.0,0.0,47,43,99,Mid-American,0,0,0,10,24,0,0,0,2015-10-03 15:00:00,2015,IN,M,0
UMass,FIU,99,"Warren McGuirk Alumni StadiumHadley, MA",1,13525,0,3,17000,0.795588235,0,0,0.04,0.0,0.0,55,48,99,Mid-American,1,0,1,24,14,0,0,0,2015-10-03 15:00:00,2015,MA,N,0
SMU,East Carolina,99,"Gerald J. Ford StadiumUniversity Park, TX",1,17136,1,3,32000,0.5355,1,0,0.0,0.0,0.0,80,57,99,AAC,0,0,0,23,49,0,0,0,2015-10-03 15:00:00,2015,TX,S,0
Georgia State,FCS Liberty,99,"Georgia DomeAtlanta, GA",1,17765,1,2,71228,0.24941034399999998,0,0,0.5,0.0,0.0,66,57,1,Sun Belt,1,0,0,33,41,0,0,0,2015-10-03 15:30:00,2015,GA,S,1
Indiana,Ohio State,99,"Memorial StadiumBloomington, IN",1,52929,4,0,52929,1.0,0,0,0.24,0.0,0.0,61,45,1,Big-10,0,0,0,27,34,0,0,0,2015-10-03 15:30:00,2015,IN,M,1
Buffalo,Bowling Green,99,"UB StadiumAmherst, NY",1,20843,2,2,25013,0.833286691,1,0,0.02,0.0,0.0,49,44,99,Mid-American,0,0,0,22,28,0,0,0,2015-10-03 15:30:00,2015,NY,N,0
Kent State,Miami OH,99,"Dix StadiumKent, OH",1,10991,1,3,27262,0.40316191,0,0,0.17,0.0,0.0,61,40,99,Mid-American,0,0,1,20,14,0,0,0,2015-10-03 15:30:00,2015,OH,M,0
Georgia Tech,North Carolina,99,"Bobby Dodd StadiumAtlanta, GA",1,50585,2,2,55000,0.919727273,0,0,0.71,0.0,0.0,66,58,99,ACC,0,0,0,31,38,0,0,0,2015-10-03 15:30:00,2015,GA,S,0
Marshall,Old Dominion,99,"Joan C. Edwards StadiumHuntington, WV",1,18473,3,1,38227,0.48324482700000004,0,0,0.28,0.0,0.0,57,51,99,CUSA,0,0,1,27,7,0,0,0,2015-10-03 15:30:00,2015,WV,S,0
UCLA,Arizona State,7,"Rose BowlPasadena, CA",1,80113,4,0,92542,0.865693415,0,0,0.0,0.0,0.0,84,65,99,Pac-12,0,1,0,23,38,0,0,0,2015-10-03 16:30:00,2015,CA,W,0
UTEP,UTSA,99,"Sun BowlEl Paso, TX",,25951,2,2,51500,0.503902913,0,0,0.59,0.0,0.0,88,65,99,CUSA,0,0,0,6,25,0,0,0,2015-10-03 18:00:00,2015,TX,S,0
New Mexico,New Mexico State,99,"University StadiumAlbuquerque, NM ",1,30900,2,2,39224,0.78778299,0,0,0.0,0.0,0.0,77,57,99,MWC,1,0,1,38,29,0,1,0,2015-10-03 18:00:00,2015,NM,W,0
Louisiana Tech,Louisiana Lafayette,99,"Joe Aillet StadiumRuston, LA",1,26910,2,2,28019,0.960419715,0,0,0.0,0.0,0.0,79,52,99,CUSA,1,0,1,43,14,0,0,0,2015-10-03 18:00:00,2015,LA,S,0
Middle Tennessee,Vanderbilt,99,"Johnny ""Red"" Floyd StadiumMurfreesboro, TN",1,25411,2,2,30788,0.8253540340000001,0,0,0.36,0.0,0.0,56,51,99,CUSA,1,0,0,13,17,0,0,0,2015-10-03 18:00:00,2015,TN,S,0
Troy,South Alabama,99,"Veterans Memorial StadiumTroy, AL ",1,22873,1,2,30000,0.7624333329999999,1,0,0.04,0.0,0.0,67,58,99,Sun Belt,0,0,0,18,24,0,1,0,2015-10-03 18:00:00,2015,AL,S,0
Southern Miss,North Texas,99,"M. M. Roberts StadiumHattiesburg, MS",1,26430,2,2,36000,0.734166667,0,0,0.0,0.0,0.0,63,59,99,CUSA,0,0,1,49,14,0,0,0,2015-10-03 18:00:00,2015,MS,S,0
Arkansas State,Idaho,99,"Centennial Bank StadiumJonesboro, AR",1,23411,1,3,30406,0.769946721,0,0,0.0,0.0,0.0,70,49,99,Sun Belt,0,0,1,49,35,0,0,0,2015-10-03 18:00:00,2015,AR,S,0
Texas A&M,Mississippi State,14,"Kyle FieldCollege Station, TX",1,104455,4,0,102733,1.016761897,0,1,0.0,0.0,0.0,85,57,21,SEC,0,1,1,30,17,0,0,0,2015-10-03 18:30:00,2015,TX,S,1
San Diego State,Fresno State,99,"Qualcomm StadiumSan Diego, CA ",1,29996,1,3,54000,0.555481481,0,0,0.0,0.0,0.0,76,68,99,MWC,0,0,1,21,7,0,1,0,2015-10-03 19:30:00,2015,CA,W,0
Colorado,Oregon,99,"Folsom FieldBoulder, CO",1,46222,3,1,50183,0.921068888,0,0,0.07,0.0,0.0,60,47,99,Pac-12,0,0,0,24,41,0,0,0,2015-10-03 20:00:00,2015,CO,W,0
Boise State,Hawaii,99,"Albertsons StadiumBoise, ID",1,35907,3,1,36387,0.986808476,0,0,0.0,0.0,0.0,68,48,99,MWC,0,0,1,55,0,0,0,0,2015-10-03 20:15:00,2015,ID,W,0
USC,Washington,17,"Los Angeles Memorial ColiseumLos Angeles, CA",1,63623,3,1,93607,0.679682075,0,1,0.0,0.0,0.0,82,67,99,ACC,0,1,0,12,17,0,0,0,2015-10-08 18:00:00,2015,CA,W,0
Marshall,Southern Miss,99,"Joan C. Edwards StadiumHuntington, WV",1,22763,4,1,38227,0.595469171,0,0,0.01,0.0,0.0,79,48,99,CUSA,0,0,1,31,10,0,0,0,2015-10-09 19:00:00,2015,WV,S,0
Ole Miss,New Mexico State,14,"VaughtHemingway StadiumOxford, MS",1,60154,4,1,59347,1.013597991,0,1,3.85,0.0,0.0,87,59,99,SEC,1,1,1,52,3,0,0,0,2015-10-10 11:00:00,2015,MS,S,0
Kansas,Baylor,99,"Memorial StadiumLawrence, KS",1,25910,0,4,50000,0.5182,1,0,0.0,0.0,0.0,66,43,3,Big-12,0,0,0,7,66,0,0,0,2015-10-10 11:00:00,2015,KS,M,1
Penn State,Indiana,99,"Beaver StadiumUniversity Park, PA",1,97873,4,1,106572,0.918374432,0,1,0.15,0.0,0.0,73,46,99,Big-10,0,0,1,29,7,0,0,0,2015-10-10 12:00:00,2015,PA,N,0
FIU,UTEP,99,"FIU StadiumMiami, FL",1,13799,2,3,20000,0.68995,0,0,0.0,0.0,0.0,91,73,99,CUSA,0,0,1,52,12,0,0,0,2015-10-10 12:00:00,2015,FL,S,0
Arizona,Oregon State,99,"Arizona StadiumTucson, AZ ",1,52987,3,2,55675,0.9517198020000001,0,0,0.0,0.0,0.0,91,71,99,Pac-12,0,0,1,44,7,0,1,0,2015-10-10 13:00:00,2015,AZ,W,0
Nebraska,Wisconsin,99,"Memorial StadiumLincoln, NE ",1,89886,2,3,86047,1.044615152,1,1,0.0,0.0,0.0,80,43,99,Big-10,0,0,0,21,23,0,1,0,2015-10-10 14:30:00,2015,NE,W,0
Northern Illinois,Ball State,99,"Huskie StadiumDeKalb, IL ",1,13535,2,3,24000,0.563958333,0,0,0.0,0.0,0.0,66,30,99,Mid-American,0,0,1,59,41,0,1,0,2015-10-10 14:30:00,2015,IL,M,0
Boston College,Wake Forest,99,"Alumni StadiumChestnut Hill, MA",1,30094,3,2,44500,0.676269663,0,0,0.27,0.0,0.0,68,44,99,ACC,0,0,0,0,3,0,0,0,2015-10-10 15:00:00,2015,MA,N,0
Toledo,Kent State,24,"Glass BowlToledo, OH",1,23118,4,0,26248,0.880752819,0,0,0.0,0.0,0.0,65,42,99,Mid-American,0,1,1,38,7,0,0,0,2015-10-10 15:00:00,2015,OH,M,0
Clemson,Georgia Tech,6,"Memorial StadiumClemson, SC ",1,80983,4,0,81500,0.993656442,0,1,0.4,0.0,0.0,80,63,99,ACC,0,1,1,43,24,0,1,0,2015-10-10 15:30:00,2015,SC,S,0
Georgia State,Appalachian State,99,"Georgia DomeAtlanta, GA",1,19456,1,3,71228,0.27315100800000003,0,0,0.76,0.0,0.0,71,63,99,Sun Belt,0,0,0,3,37,0,0,0,2015-10-10 15:30:00,2015,GA,S,0
Notre Dame,Navy,15,"Notre Dame StadiumSouth Bend, IN ",1,80795,4,1,80795,1.0,0,1,0.88,0.0,0.0,70,62,99,Independent,0,1,1,41,24,0,1,0,2015-10-10 15:30:00,2015,IN,M,0
UCF,UConn,99,"Bright House Networks StadiumOrlando, FL ",1,26669,0,5,44206,0.603289146,0,0,0.05,0.0,0.0,88,72,99,AAC,0,0,0,13,40,0,1,0,2015-10-10 15:45:00,2015,FL,S,0
BYU,East Carolina,99,"LaVell Edwards StadiumProvo, UT",1,60186,3,2,63470,0.94825902,0,0,0.0,0.0,0.0,85,48,99,Independent,0,0,1,45,38,0,0,0,2015-10-10 17:30:00,2015,UT,W,0
Hawaii,San Diego State,99,"Aloha StadiumHonolulu, HI",1,28543,2,3,50000,0.57086,0,0,0.0,0.0,0.0,91,77,99,MWC,0,0,0,14,28,0,0,0,2015-10-10 18:00:00,2015,HI,O,0
Louisiana,Texas State,99,"Cajun FieldLafayette, LA",1,21377,1,3,41426,0.516028581,0,0,0.0,0.0,0.0,83,61,99,Sun Belt,0,0,1,49,27,0,0,0,2015-10-10 18:00:00,2015,LA,S,0
Alabama,Arkansas,8,"BryantDenny StadiumTuscaloosa, AL",1,101821,4,1,101821,1.0,0,1,0.3,0.0,0.0,77,63,99,SEC,0,1,1,27,14,0,0,0,2015-10-10 18:00:00,2015,AL,S,0
Missouri,Florida,99,"Faurot FieldColumbia, MO",1,70767,4,1,71168,0.994365445,0,0,0.0,0.0,0.0,70,40,11,SEC,0,0,0,3,21,0,0,0,2015-10-10 18:30:00,2015,MO,M,1
Kansas State,TCU,99,"Bill Snyder Family Football StadiumManhattan, KS",1,53671,3,1,50000,1.07342,0,0,0.01,0.0,0.0,68,46,2,Big-12,0,0,0,45,52,0,0,0,2015-10-10 18:30:00,2015,KS,M,1
Rutgers,Michigan State,99,"High Point Solutions StadiumPiscataway, NJ",1,50373,2,2,52454,0.9603271440000001,0,0,0.48,0.0,0.0,80,47,4,Big-10,0,0,0,24,31,0,0,0,2015-10-10 20:00:00,2015,NJ,N,1
Florida State,Miami FL,12,"Doak Campbell StadiumTallahassee, FL ",1,82329,4,0,82300,1.000352369,0,0,0.0,0.0,0.0,90,68,99,ACC,0,1,1,29,24,0,1,0,2015-10-10 20:00:00,2015,FL,S,0
South Alabama,Arkansas State,99,"LaddPeebles StadiumMobile, AL",1,18538,3,2,40000,0.46345,0,0,0.0,0.0,0.0,83,63,99,AAC,0,0,0,31,49,0,0,0,2015-10-13 20:00:00,2015,AL,S,0
BYU,Cincinnati,99,"LaVell Edwards StadiumProvo, UT",1,57612,4,2,63470,0.907704427,0,0,0.0,0.0,0.0,81,49,99,Independent,0,0,1,38,24,0,0,0,2015-10-16 18:00:00,2015,UT,W,0
Middle Tennessee,FIU,99,"Johnny ""Red"" Floyd StadiumMurfreesboro, TN",1,13227,2,4,30788,0.429615435,0,0,0.0,0.0,0.0,68,33,99,CUSA,0,0,1,42,34,0,0,0,2015-10-17 11:00:00,2015,TN,S,0
Kansas,Texas Tech,99,"Memorial StadiumLawrence, KS",1,25186,0,5,50000,0.50372,1,0,0.0,0.0,0.0,65,36,99,Big-12,0,0,0,20,30,0,0,0,2015-10-17 11:00:00,2015,KS,M,0
Baylor,West Virginia,2,"McLane StadiumWaco, TX",1,45370,5,0,45140,1.005095259,0,0,0.0,0.0,0.0,85,54,99,Big-12,0,1,1,62,38,0,0,0,2015-10-17 11:00:00,2015,TX,S,0
Memphis,Ole Miss,99,"Liberty Bowl Memorial StadiumMemphis, TN ",1,60241,5,0,58325,1.032850407,0,0,0.0,0.0,0.0,72,39,13,AAC,1,0,1,37,24,0,1,0,2015-10-17 11:00:00,2015,TN,S,1
Wisconsin,Purdue,99,"Camp Randall StadiumMadison, WI",1,80794,4,2,80321,1.005888871,1,1,0.0,0.0,0.0,52,27,99,Big-10,0,0,1,24,7,0,0,0,2015-10-17 11:00:00,2015,WI,M,0
Florida State,Louisville,11,"Doak Campbell StadiumTallahassee, FL",1,71225,5,0,82300,0.8654313490000001,0,0,0.0,0.0,0.0,84,60,99,ACC,0,1,1,41,21,0,0,0,2015-10-17 12:00:00,2015,FL,S,0
Toledo,Eastern Michigan,22,"Glass BowlToledo, OH",1,18204,5,0,26248,0.693538555,0,0,0.0,0.0,0.0,48,28,99,Mid-American,0,1,1,63,20,0,0,0,2015-10-17 12:00:00,2015,OH,M,0
Georgia Tech,Pittsburgh,99,"Bobby Dodd StadiumAtlanta, GA",1,46208,2,4,55000,0.840145455,0,0,0.0,0.0,0.0,69,42,99,ACC,0,0,0,28,31,0,0,0,2015-10-17 12:30:00,2015,GA,S,0
Ball State,Georgia State,99,"Scheumann StadiumMuncie, IN",1,7564,2,4,30406,0.248766691,0,0,0.0,0.0,0.0,49,27,99,Mid-American,1,0,0,19,31,0,0,0,2015-10-17 14:00:00,2015,IN,M,0
Troy,Idaho,99,"Veterans Memorial StadiumTroy, AL",1,20107,1,4,30000,0.670233333,1,0,0.0,0.0,0.0,75,48,99,Sun Belt,0,0,0,16,19,0,0,0,2015-10-17 14:30:00,2015,AL,S,0
Miami (OH),Northern Illinois,99,"Yager StadiumOxford, OH",1,20278,1,5,24286,0.834966647,0,0,0.0,0.0,0.0,56,28,99,Mid-American,0,0,0,12,45,0,0,0,2015-10-17 14:30:00,2015,OH,M,0
Texas A&M,Alabama,9,"Kyle FieldCollege Station, TX",1,105733,5,0,102733,1.029201912,0,1,0.0,0.0,0.0,86,62,10,SEC,0,1,0,23,41,0,0,0,2015-10-17 14:30:00,2015,TX,S,1
Kansas State,Oklahoma,99,"Bill Snyder Family Football StadiumManhattan, KS",1,52867,3,2,50000,1.05734,0,0,0.0,0.0,0.0,65,41,19,Big-12,0,0,0,0,55,0,0,0,2015-10-17 14:30:00,2015,KS,M,1
UMass,Kent State,99,"Warren McGuirk Alumni StadiumHadley, MA",1,15217,1,4,17000,0.8951176470000001,0,0,0.02,0.0,0.0,60,37,99,Mid-American,0,0,0,10,15,0,0,0,2015-10-17 15:00:00,2015,MA,N,0
Indiana,Rutgers,99,"Memorial StadiumBloomington, IN",1,40567,4,2,52929,0.766441837,0,0,0.0,0.0,0.0,63,33,99,Big-10,0,0,0,52,55,0,0,0,2015-10-17 15:30:00,2015,IN,M,0
Virginia,Syracuse,99,"Scott StadiumCharlottesville, VA",1,39223,1,4,61500,0.637772358,0,0,0.0,0.0,0.0,69,48,99,ACC,0,0,1,44,38,3,0,0,2015-10-17 15:30:00,2015,VA,S,0
New Mexico,Hawaii,99,"University StadiumAlbuquerque, NM",1,20541,3,3,39224,0.523684479,0,0,0.0,0.0,0.0,73,48,99,MWC,0,0,1,28,27,0,0,0,2015-10-17 17:00:00,2015,NM,W,0
Iowa State,TCU,99,"Jack Trice StadiumAmes, IA",1,52480,2,3,61500,0.8533333329999999,0,0,0.0,0.0,0.0,55,31,3,Big-12,0,0,0,21,45,0,0,0,2015-10-17 18:00:00,2015,IA,M,1
Southern Miss,UTSA,99,"M. M. Roberts StadiumHattiesburg, MS",1,28745,3,3,36000,0.798472222,0,0,0.0,0.0,0.0,76,56,99,CUSA,0,0,1,32,10,0,0,0,2015-10-17 18:00:00,2015,MS,S,0
Colorado,Arizona,99,"Folsom FieldBoulder, CO",1,39666,3,3,50183,0.790427037,0,0,0.0,0.0,0.0,78,41,99,Pac-12,0,0,0,31,38,0,0,0,2015-10-17 19:00:00,2015,CO,W,0
Notre Dame,USC,14,"Notre Dame StadiumSouth Bend, IN ",1,80795,5,1,80795,1.0,0,1,0.0,0.0,0.0,69,42,99,Independent,0,1,1,41,31,0,1,0,2015-10-17 19:30:00,2015,IN,M,0
Arkansas State,Louisiana Lafayette,99,"Centennial Bank StadiumJonesboro, AR",1,20495,3,3,30406,0.674044596,0,0,0.0,0.0,0.0,73,37,99,Sun Belt,0,0,1,37,27,0,0,0,2015-10-20 19:00:00,2015,AR,S,0
UCLA,California,99,"Rose BowlPasadena, CA ",1,57046,4,2,92542,0.6164336189999999,0,0,0.0,0.0,0.0,80,65,20,Pac-12,0,0,1,40,24,0,1,0,2015-10-22 18:00:00,2015,CA,W,1
San Diego State,Utah State,99,"Qualcomm StadiumSan Diego, CA",1,25898,4,3,54000,0.47959259299999996,0,0,0.0,0.0,0.0,78,65,99,MWC,0,0,1,48,14,0,0,0,2015-10-23 19:30:00,2015,CA,W,0
Baylor,Iowa State,2,"McLane StadiumWaco, TX",1,45512,6,0,45140,1.008241028,0,0,3.17,0.0,0.0,68,58,99,Big-12,0,1,1,45,27,0,0,0,2015-10-24 11:00:00,2015,TX,S,0
Arkansas,Auburn,99,"Donald W. Reynolds Razorback StadiumFayetteville, AR",1,72008,2,4,72000,1.0001111109999998,0,0,0.0,0.0,0.0,66,52,99,SEC,0,0,1,54,46,4,0,0,2015-10-24 11:00:00,2015,AR,S,0
Nebraska,Northwestern,99,"Memorial StadiumLincoln, NE",1,89493,3,4,86047,1.040047881,1,1,0.0,0.0,0.0,65,37,99,Big-10,0,0,0,28,30,0,0,0,2015-10-24 11:00:00,2015,NE,W,0
